CommonName,LatinName,Notes,LeafMinLength,LeafMaxLength,LeafMinWidth,LeafMaxWidth,LeafColor,LeafEdge,LeafFormation,LeafTexture,LeafGloss,LeafNotes,FlowerColor,FruitColor,Trunk,ExternalURL,ImageRoot,ScientificName
Akeake,,,9,11,2,2,Green,Smooth,Alternate,Rough,Semi,Leave point upwards.,,,"red, flakey trunk",https://en.wikipedia.org/wiki/Dodonaea_viscosa,akeake,Dodonaea Viscosa
Black Beech,,,1,3,1,2,Dark Green,Smooth,,Smooth,Semi,Leaves are have a rounded tip.,,,"young trees smoother, older gnarled, brown, black sooty moss common",https://en.wikipedia.org/wiki/Fuscospora_solandri,blackbeech,Fuscospora Solandri
Cabbage Tree,,,50,100,3,6,,Smooth,,Smooth,,,White,Blue,,,cabbage,
Five Finger,,,10,20,4,7,,Serrated,Star,Smooth,Semi,,,Black,,https://en.wikipedia.org/wiki/Pseudopanax_arboreus,fivefinger,Pseudopanax Arboreus
Hard Beech,,,2,4,1,3,Green,Serrated,Alternate,Smooth,Semi,,,,,https://en.wikipedia.org/wiki/Fuscospora_truncata,hardbeech,Fuscospora Truncata
Kamahi,,"Name comes from “ka”, meaning burn and “mahi” meaning abundance. Referring to its ability to come back stronger after fire.",3,10,2,3,Green,Serrated,Paired,Smooth,Semi,,White,,"light, blotchy",https://en.wikipedia.org/wiki/Weinmannia_racemosa,kamahi,Weinmannia Racemosa
Kanuka,,,1,1,0.2,0.2,Very Dark Green,Smooth,,Smooth,Matt,Unkike Manuka leaves ares soft to touch.,White,,,https://en.wikipedia.org/wiki/Kunzea_ericoides,kanuka,Kunzea Ericoides
Karaka,,,10,20,5,8,Green,Smooth,Paired,Smooth,High,,,Orange,smooth grey brown,https://en.wikipedia.org/wiki/Karaka_(tree),karaka,
Kawakawa,,,6,10,7,9,Green,Smooth,Paired,Smooth,Matt,"It is found throughout the North Island, and as far south as Okarito (43.20 °S) on the West Coast and Banks Peninsula (43.5 °S) on the east coast of the South Island. The leaves are often covered with insect holes. The images depict the variety majus which has larger and more glossy leaves than M. excelsum. The name Kawakawa in Māori refers to the bitter taste of the leaves, from kawa bitter.",,Yellow,"scraggly, dark, jointed",https://en.wikipedia.org/wiki/Macropiper_excelsum,kawakawa,Macropiper Excelsum
Kôhûhû,,,3,5,1.5,2,Green,Rippled,Alternate,Smooth,Semi,similar to Red Matipo but with black stems.,,,,https://en.wikipedia.org/wiki/Pittosporum_tenuifolium,,Pittosporum Tenuifolium
Kowhai,,,1,1,0.5,0.8,Green,Smooth,,Smooth,Semi,,Yellow,,,https://en.wikipedia.org/wiki/K%C5%8Dwhai,kowhai,
Lancewood (Juevenille),,,18,40,1,2,Very Dark Green,Serrated,Alternate,Smooth,Semi,,,,"thin, spindley",https://en.wikipedia.org/wiki/Pseudopanax_crassifolius,lancewood_juevenille,Pseudopanax Crassifolius
Lancewood (Mature),,,7,20,2,3,Green,Serrated,Alternate,Smooth,Semi,,,Purple,like thick rope,https://en.wikipedia.org/wiki/Pseudopanax_crassifolius,lancewood_adult,Pseudopanax Crassifolius
Lemonwood,,,7,15,2,3,Multi-colored,Smooth,Alternate,Smooth,High,,,,,https://en.wikipedia.org/wiki/Pittosporum_eugenioides,,Pittosporum Eugenioides
Mahoe,,,5,15,3,5,Green,Serrated,Alternate,Smooth,Semi,Common in areas of regeneration.,Purple,Green,"light, smooth",https://en.wikipedia.org/wiki/Melicytus_ramiflorus,
Manuka,,,1,1,0.2,0.2,Very Dark Green,Smooth,,Scratchy,Matt,"scratchy, prickly",White,,,https://en.wikipedia.org/wiki/Leptospermum_scoparium,manuka,Leptospermum Scoparium
Marble Leaf,,,7,9,3,4,Light Green,Serrated,Alternate,Waxy,Matt,"white underside, blotchy coloring, similar to Rangiora.",,,"light, twiggy",https://en.wikipedia.org/wiki/Carpodetus_serratus,,Carpodetus Serratus
Miro,,,1.5,1.5,0.2,0.2,Green,Smooth,Alternate,Smooth,Semi,"Arranged in 2 rows of leaves, underside paler green.",,Red,Hammer,https://en.wikipedia.org/wiki/Prumnopitys_ferruginea,miro,Prumnopitys Ferruginea
Ngaio,,,10,12,2,2,Green,Smooth,Alternate,Smooth,Semi,"When held up to the light, leaves show small dot pattern.",White,Purple,smooth,https://en.wikipedia.org/wiki/Myoporum_laetum,ngaio,Myoporum Laetum
Nikau,,,50,100,2,6,,Smooth,,,,Fern like frondes.,Pink,Red,,https://en.wikipedia.org/wiki/Nikau,nikau,
Northern Rata,,"Northern rātā is a massive tree, easily distinguished from other Metrosideros species by its small, leathery, dark green leaves which are 25-50mm long by 15-25mm wide, and have a distinct notch at the tip. Young growth is generally pink and covered in fine rust-coloured hairs that are gradually shed as the foliage ages but tends to persist at the midrib and in the vicinity of the leaf base. The flowers, borne in sprays on the tips of branches, are a mass of dark scarlet stamens. Flowering peaks between November and January, and seeds take a year or slightly more to ripen. The bark is usually brown or grey-brown and rather corky and provides an ideal stratum for the roots of epiphytic plants such as Astelia species and Freycinetia banksii (kiekie). The wood is reddish brown, and the manner of its growth results in a twisted grain.",2.5,5,1,3,,Smooth,Paired,Smooth,,"Leaves are green underneath, unlike the white of the Pohutukawa.",Red,,,https://en.wikipedia.org/wiki/Metrosideros_robusta,northernrata,Metrosideros Robusta
Pohutakawa,,,5,8,2,3,,Smooth,Paired,Smooth,Semi,Leaves are white underneath,Red,,"Gnarled with spreading roots, found throughout New Zealand",https://en.wikipedia.org/wiki/Metrosideros_excelsa,,Metrosideros Excelsa
